,Perpetrator Sex,State,Relationship,Relationship Total
780,Female,Oregon,Common-Law Husband,6
781,Female,Oregon,Boyfriend/Girlfriend,5
782,Female,Oregon,Brother,5
783,Female,Oregon,Ex-Husband,5
784,Female,Oregon,Stepson,4
785,Female,Oregon,Employer,2
786,Female,Oregon,Father,2
787,Female,Oregon,Neighbor,2
788,Female,Oregon,Sister,2
789,Female,Oregon,Stepfather,2
790,Female,Oregon,Stepdaughter,1
791,Female,Pennsylvania,Acquaintance,298
792,Female,Pennsylvania,Boyfriend,294
793,Female,Pennsylvania,Husband,213
794,Female,Pennsylvania,Son,179
795,Female,Pennsylvania,Daughter,159
796,Female,Pennsylvania,Unknown,151
797,Female,Pennsylvania,Stranger,99
798,Female,Pennsylvania,Common-Law Husband,62
799,Female,Pennsylvania,Friend,56
800,Female,Pennsylvania,Family,45
801,Female,Pennsylvania,Neighbor,34
802,Female,Pennsylvania,Mother,30
803,Female,Pennsylvania,Father,19
804,Female,Pennsylvania,Brother,15
805,Female,Pennsylvania,Boyfriend/Girlfriend,8
806,Female,Pennsylvania,Sister,8
807,Female,Pennsylvania,Ex-Husband,7
808,Female,Pennsylvania,In-Law,7
809,Female,Pennsylvania,Stepdaughter,5
810,Female,Pennsylvania,Girlfriend,4
811,Female,Pennsylvania,Wife,3
812,Female,Pennsylvania,Employee,2
813,Female,Pennsylvania,Stepfather,2
814,Female,Pennsylvania,Stepmother,2
815,Female,Pennsylvania,Stepson,2
816,Female,Rhodes Island,Acquaintance,16
817,Female,Rhodes Island,Daughter,12
818,Female,Rhodes Island,Boyfriend,10
819,Female,Rhodes Island,Son,9
820,Female,Rhodes Island,Husband,6
821,Female,Rhodes Island,Unknown,6
822,Female,Rhodes Island,Stranger,3
823,Female,Rhodes Island,Family,2
824,Female,Rhodes Island,Mother,2
825,Female,Rhodes Island,Neighbor,2
826,Female,Rhodes Island,Brother,1
827,Female,Rhodes Island,Common-Law Husband,1
828,Female,Rhodes Island,Ex-Husband,1
829,Female,Rhodes Island,Friend,1
830,Female,South Carolina,Acquaintance,280
831,Female,South Carolina,Husband,275
832,Female,South Carolina,Boyfriend,231
833,Female,South Carolina,Common-Law Husband,108
834,Female,South Carolina,Son,90
835,Female,South Carolina,Daughter,72
836,Female,South Carolina,Unknown,70
837,Female,South Carolina,Stranger,52
838,Female,South Carolina,Family,41
839,Female,South Carolina,Friend,26
840,Female,South Carolina,Brother,22
841,Female,South Carolina,Mother,18
842,Female,South Carolina,In-Law,13
843,Female,South Carolina,Ex-Husband,12
844,Female,South Carolina,Father,10
845,Female,South Carolina,Sister,9
846,Female,South Carolina,Boyfriend/Girlfriend,8
847,Female,South Carolina,Neighbor,6
848,Female,South Carolina,Stepdaughter,4
849,Female,South Carolina,Stepfather,4
850,Female,South Carolina,Stepson,4
851,Female,South Carolina,Employer,1
852,Female,South Dakota,Acquaintance,10
853,Female,South Dakota,Boyfriend,8
854,Female,South Dakota,Daughter,6
855,Female,South Dakota,Husband,5
856,Female,South Dakota,Friend,4
857,Female,South Dakota,Stranger,3
858,Female,South Dakota,Unknown,3
859,Female,South Dakota,Mother,2
860,Female,South Dakota,Son,2
861,Female,South Dakota,Ex-Husband,1
862,Female,South Dakota,Family,1
863,Female,South Dakota,Sister,1
864,Female,Tennessee,Acquaintance,375
865,Female,Tennessee,Husband,299
866,Female,Tennessee,Boyfriend,246
867,Female,Tennessee,Unknown,129
868,Female,Tennessee,Son,72
869,Female,Tennessee,Stranger,70
870,Female,Tennessee,Daughter,55
871,Female,Tennessee,Family,41
872,Female,Tennessee,Ex-Husband,33
873,Female,Tennessee,Friend,32
874,Female,Tennessee,Common-Law Husband,27
875,Female,Tennessee,Brother,22
876,Female,Tennessee,Father,17
877,Female,Tennessee,Mother,14
878,Female,Tennessee,Neighbor,14
879,Female,Tennessee,In-Law,11
880,Female,Tennessee,Stepfather,9
881,Female,Tennessee,Sister,8
882,Female,Tennessee,Boyfriend/Girlfriend,5
883,Female,Tennessee,Girlfriend,2
884,Female,Tennessee,Stepson,2
885,Female,Tennessee,Employer,1
886,Female,Tennessee,Stepdaughter,1
887,Female,Tennessee,Wife,1
888,Female,Texas,Husband,1213
889,Female,Texas,Acquaintance,965
890,Female,Texas,Boyfriend,474
891,Female,Texas,Common-Law Husband,434
892,Female,Texas,Unknown,379
893,Female,Texas,Son,374
894,Female,Texas,Stranger,339
895,Female,Texas,Daughter,301
896,Female,Texas,Friend,130
897,Female,Texas,Family,121
898,Female,Texas,Ex-Husband,92
899,Female,Texas,Mother,62
900,Female,Texas,In-Law,51
901,Female,Texas,Neighbor,51
902,Female,Texas,Brother,43
903,Female,Texas,Father,43
904,Female,Texas,Stepfather,30
905,Female,Texas,Wife,29
906,Female,Texas,Sister,21
907,Female,Texas,Boyfriend/Girlfriend,18
908,Female,Texas,Girlfriend,14
909,Female,Texas,Stepson,9
910,Female,Texas,Common-Law Wife,8
911,Female,Texas,Stepdaughter,7
912,Female,Texas,Employer,4
913,Female,Texas,Ex-Wife,3
914,Female,Texas,Stepmother,2
915,Female,Utah,Daughter,35
916,Female,Utah,Husband,34
917,Female,Utah,Acquaintance,30
918,Female,Utah,Son,28
919,Female,Utah,Unknown,27
920,Female,Utah,Boyfriend,18
921,Female,Utah,Stranger,13
922,Female,Utah,Family,5
923,Female,Utah,In-Law,4
924,Female,Utah,Mother,4
925,Female,Utah,Friend,3
926,Female,Utah,Neighbor,3
927,Female,Utah,Ex-Husband,2
928,Female,Utah,Boyfriend/Girlfriend,1
929,Female,Utah,Common-Law Husband,1
930,Female,Utah,Stepfather,1
931,Female,Vermont,Boyfriend,8
932,Female,Vermont,Husband,7
933,Female,Vermont,Daughter,6
934,Female,Vermont,Acquaintance,3
935,Female,Vermont,Family,2
936,Female,Vermont,Son,2
937,Female,Vermont,Brother,1
938,Female,Vermont,Friend,1
939,Female,Vermont,Sister,1
940,Female,Vermont,Stepfather,1
941,Female,Vermont,Stranger,1
942,Female,Vermont,Unknown,1
943,Female,Virginia,Husband,317
944,Female,Virginia,Acquaintance,299
945,Female,Virginia,Boyfriend,257
946,Female,Virginia,Daughter,129
947,Female,Virginia,Unknown,128
948,Female,Virginia,Son,104
949,Female,Virginia,Stranger,49
950,Female,Virginia,Family,29
951,Female,Virginia,Mother,27
952,Female,Virginia,Friend,24
953,Female,Virginia,Father,18
954,Female,Virginia,In-Law,17
955,Female,Virginia,Neighbor,14
956,Female,Virginia,Ex-Husband,9
957,Female,Virginia,Boyfriend/Girlfriend,8
958,Female,Virginia,Brother,8
959,Female,Virginia,Common-Law Husband,8
960,Female,Virginia,Sister,5
961,Female,Virginia,Stepfather,4
962,Female,Virginia,Stepmother,1
963,Female,Virginia,Stepson,1
964,Female,Washington,Acquaintance,111
965,Female,Washington,Husband,106
966,Female,Washington,Boyfriend,91
967,Female,Washington,Daughter,72
968,Female,Washington,Unknown,61
969,Female,Washington,Son,44
970,Female,Washington,Stranger,37
971,Female,Washington,Friend,26
972,Female,Washington,Mother,24
973,Female,Washington,Family,17
974,Female,Washington,Ex-Husband,7
975,Female,Washington,In-Law,7
976,Female,Washington,Father,6
977,Female,Washington,Boyfriend/Girlfriend,5
978,Female,Washington,Common-Law Husband,5
979,Female,Washington,Neighbor,4
980,Female,Washington,Sister,4
981,Female,Washington,Brother,3
982,Female,Washington,Employer,2
983,Female,Washington,Stepdaughter,1
984,Female,Washington,Stepfather,1
985,Female,Washington,Stepmother,1
986,Female,West Virginia,Husband,99
987,Female,West Virginia,Acquaintance,69
988,Female,West Virginia,Boyfriend,45
989,Female,West Virginia,Unknown,28
990,Female,West Virginia,Son,23
991,Female,West Virginia,Daughter,21
992,Female,West Virginia,Stranger,17
993,Female,West Virginia,Common-Law Husband,14
994,Female,West Virginia,Ex-Husband,10
995,Female,West Virginia,Father,9
996,Female,West Virginia,Mother,8
997,Female,West Virginia,Family,7
998,Female,West Virginia,In-Law,4
999,Female,West Virginia,Neighbor,4
1000,Female,West Virginia,Friend,3
1001,Female,West Virginia,Sister,2
1002,Female,West Virginia,Brother,1
1003,Female,West Virginia,Girlfriend,1
1004,Female,West Virginia,Stepfather,1
1005,Female,West Virginia,Stepmother,1
1006,Female,Wisconsin,Unknown,109
1007,Female,Wisconsin,Boyfriend,106
1008,Female,Wisconsin,Acquaintance,90
1009,Female,Wisconsin,Son,58
1010,Female,Wisconsin,Daughter,46
1011,Female,Wisconsin,Husband,44
1012,Female,Wisconsin,Stranger,32
1013,Female,Wisconsin,Friend,26
1014,Female,Wisconsin,Family,10
1015,Female,Wisconsin,Ex-Husband,6
1016,Female,Wisconsin,Neighbor,5
1017,Female,Wisconsin,Common-Law Husband,4
1018,Female,Wisconsin,Boyfriend/Girlfriend,3
1019,Female,Wisconsin,Brother,3
1020,Female,Wisconsin,In-Law,3
1021,Female,Wisconsin,Sister,3
1022,Female,Wisconsin,Mother,2
1023,Female,Wisconsin,Stepfather,2
1024,Female,Wisconsin,Employer,1
1025,Female,Wisconsin,Father,1
1026,Female,Wisconsin,Stepdaughter,1
1027,Female,Wisconsin,Stepson,1
1028,Female,Wyoming,Husband,27
1029,Female,Wyoming,Daughter,12
1030,Female,Wyoming,Son,8
1031,Female,Wyoming,Boyfriend,5
1032,Female,Wyoming,Acquaintance,4
1033,Female,Wyoming,Mother,2
1034,Female,Wyoming,Stranger,2
1035,Female,Wyoming,Family,1
1036,Female,Wyoming,Stepfather,1
1037,Female,Wyoming,Unknown,1
1038,Male,Alabama,Acquaintance,2920
1039,Male,Alabama,Unknown,1162
1040,Male,Alabama,Stranger,1124
1041,Male,Alabama,Friend,436
1042,Male,Alabama,Wife,426
1043,Male,Alabama,Girlfriend,329
1044,Male,Alabama,Family,215
1045,Male,Alabama,Brother,149
1046,Male,Alabama,In-Law,148
1047,Male,Alabama,Neighbor,138
1048,Male,Alabama,Ex-Wife,89
1049,Male,Alabama,Father,86
1050,Male,Alabama,Son,82
1051,Male,Alabama,Common-Law Wife,73
1052,Male,Alabama,Mother,57
1053,Male,Alabama,Stepfather,44
1054,Male,Alabama,Daughter,41
1055,Male,Alabama,Sister,24
1056,Male,Alabama,Stepson,18
1057,Male,Alabama,Stepdaughter,14
1058,Male,Alabama,Employee,12
1059,Male,Alabama,Husband,10
1060,Male,Alabama,Boyfriend/Girlfriend,8
1061,Male,Alabama,Boyfriend,7
1062,Male,Alabama,Stepmother,7
1063,Male,Alabama,Employer,6
1064,Male,Alabama,Common-Law Husband,2
1065,Male,Alabama,Ex-Husband,1
1066,Male,Alaska,Acquaintance,360
1067,Male,Alaska,Stranger,216
1068,Male,Alaska,Friend,113
1069,Male,Alaska,Unknown,110
1070,Male,Alaska,Wife,73
1071,Male,Alaska,Girlfriend,66
1072,Male,Alaska,Brother,36
1073,Male,Alaska,Family,36
1074,Male,Alaska,Neighbor,27
1075,Male,Alaska,Father,23
1076,Male,Alaska,Son,19
1077,Male,Alaska,Daughter,16
1078,Male,Alaska,Mother,16
1079,Male,Alaska,Sister,9
1080,Male,Alaska,In-Law,6
1081,Male,Alaska,Stepfather,6
1082,Male,Alaska,Employer,5
1083,Male,Alaska,Ex-Wife,5
1084,Male,Alaska,Stepdaughter,3
1085,Male,Alaska,Stepmother,3
1086,Male,Alaska,Common-Law Wife,2
1087,Male,Alaska,Employee,2
1088,Male,Alaska,Boyfriend/Girlfriend,1
1089,Male,Alaska,Stepson,1
1090,Male,Arizona,Stranger,2825
1091,Male,Arizona,Acquaintance,2291
1092,Male,Arizona,Unknown,838
1093,Male,Arizona,Friend,580
1094,Male,Arizona,Wife,489
1095,Male,Arizona,Girlfriend,365
1096,Male,Arizona,Family,172
1097,Male,Arizona,Son,149
1098,Male,Arizona,Neighbor,140
1099,Male,Arizona,Daughter,99
1100,Male,Arizona,Brother,86
1101,Male,Arizona,Father,80
1102,Male,Arizona,Mother,80
1103,Male,Arizona,In-Law,59
1104,Male,Arizona,Ex-Wife,41
1105,Male,Arizona,Sister,32
1106,Male,Arizona,Stepfather,23
1107,Male,Arizona,Common-Law Wife,21
1108,Male,Arizona,Stepson,19
1109,Male,Arizona,Stepdaughter,18
1110,Male,Arizona,Boyfriend/Girlfriend,14
1111,Male,Arizona,Boyfriend,13
1112,Male,Arizona,Employer,9
1113,Male,Arizona,Employee,5
1114,Male,Arizona,Husband,5
1115,Male,Arizona,Common-Law Husband,1
1116,Male,Arkansas,Acquaintance,2146
1117,Male,Arkansas,Unknown,779
1118,Male,Arkansas,Stranger,655
1119,Male,Arkansas,Wife,306
1120,Male,Arkansas,Girlfriend,234
1121,Male,Arkansas,Family,152
1122,Male,Arkansas,Friend,146
1123,Male,Arkansas,Son,90
1124,Male,Arkansas,Brother,89
1125,Male,Arkansas,Neighbor,82
1126,Male,Arkansas,Father,65
1127,Male,Arkansas,In-Law,64
1128,Male,Arkansas,Mother,47
1129,Male,Arkansas,Daughter,35
1130,Male,Arkansas,Ex-Wife,34
1131,Male,Arkansas,Stepfather,25
1132,Male,Arkansas,Sister,11
1133,Male,Arkansas,Stepson,11
1134,Male,Arkansas,Boyfriend/Girlfriend,9
1135,Male,Arkansas,Stepdaughter,7
1136,Male,Arkansas,Common-Law Wife,6
1137,Male,Arkansas,Stepmother,6
1138,Male,Arkansas,Employer,5
1139,Male,Arkansas,Boyfriend,3
1140,Male,Arkansas,Employee,3
1141,Male,Arkansas,Ex-Husband,3
1142,Male,Arkansas,Common-Law Husband,2
1143,Male,Arkansas,Husband,1
1144,Male,California,Stranger,18569
1145,Male,California,Unknown,13717
1146,Male,California,Acquaintance,8651
1147,Male,California,Friend,5446
1148,Male,California,Wife,2933
1149,Male,California,Girlfriend,2299
1150,Male,California,Neighbor,934
1151,Male,California,Family,906
1152,Male,California,Son,736
1153,Male,California,Brother,553
1154,Male,California,Daughter,550
1155,Male,California,Mother,515
1156,Male,California,Father,460
1157,Male,California,In-Law,446
1158,Male,California,Common-Law Wife,306
1159,Male,California,Boyfriend/Girlfriend,293
1160,Male,California,Ex-Wife,188
1161,Male,California,Stepfather,154
1162,Male,California,Employer,118
1163,Male,California,Stepson,114
1164,Male,California,Sister,112
1165,Male,California,Stepdaughter,83
1166,Male,California,Employee,54
1167,Male,California,Boyfriend,23
1168,Male,California,Stepmother,21
1169,Male,California,Common-Law Husband,6
1170,Male,California,Ex-Husband,6
1171,Male,California,Husband,6
1172,Male,Colorado,Acquaintance,1258
1173,Male,Colorado,Stranger,983
1174,Male,Colorado,Unknown,805
1175,Male,Colorado,Wife,395
1176,Male,Colorado,Girlfriend,241
1177,Male,Colorado,Friend,226
1178,Male,Colorado,Son,96
1179,Male,Colorado,Family,92
1180,Male,Colorado,Neighbor,74
1181,Male,Colorado,Daughter,68
1182,Male,Colorado,Brother,57
1183,Male,Colorado,Mother,53
1184,Male,Colorado,Common-Law Wife,51
1185,Male,Colorado,Ex-Wife,50
1186,Male,Colorado,Father,48
1187,Male,Colorado,In-Law,28
1188,Male,Colorado,Stepson,22
1189,Male,Colorado,Employer,18
1190,Male,Colorado,Stepfather,14
1191,Male,Colorado,Boyfriend/Girlfriend,12
1192,Male,Colorado,Stepdaughter,11
1193,Male,Colorado,Sister,8
1194,Male,Colorado,Employee,5
1195,Male,Colorado,Husband,2
1196,Male,Colorado,Stepmother,1
1197,Male,Connecticut,Acquaintance,1080
1198,Male,Connecticut,Stranger,556
1199,Male,Connecticut,Unknown,444
1200,Male,Connecticut,Wife,198
1201,Male,Connecticut,Girlfriend,175
1202,Male,Connecticut,Friend,106
1203,Male,Connecticut,Son,62
1204,Male,Connecticut,Family,50
1205,Male,Connecticut,Neighbor,43
1206,Male,Connecticut,Father,39
1207,Male,Connecticut,Daughter,30
1208,Male,Connecticut,Mother,30
1209,Male,Connecticut,Brother,27
1210,Male,Connecticut,In-Law,18
1211,Male,Connecticut,Common-Law Wife,13
1212,Male,Connecticut,Boyfriend/Girlfriend,10
1213,Male,Connecticut,Ex-Wife,10
1214,Male,Connecticut,Stepfather,8
1215,Male,Connecticut,Employee,6
1216,Male,Connecticut,Employer,6
1217,Male,Connecticut,Stepson,5
1218,Male,Connecticut,Sister,4
1219,Male,Connecticut,Stepdaughter,3
1220,Male,Delaware,Unknown,245
1221,Male,Delaware,Acquaintance,183
1222,Male,Delaware,Stranger,147
1223,Male,Delaware,Wife,75
1224,Male,Delaware,Girlfriend,57
1225,Male,Delaware,Son,22
1226,Male,Delaware,Friend,20
1227,Male,Delaware,Family,18
1228,Male,Delaware,In-Law,12
1229,Male,Delaware,Neighbor,9
1230,Male,Delaware,Brother,7
1231,Male,Delaware,Daughter,7
1232,Male,Delaware,Father,7
1233,Male,Delaware,Mother,6
1234,Male,Delaware,Boyfriend/Girlfriend,5
1235,Male,Delaware,Common-Law Wife,5
1236,Male,Delaware,Stepfather,4
1237,Male,Delaware,Ex-Wife,2
1238,Male,Delaware,Stepmother,2
1239,Male,Delaware,Employee,1
1240,Male,Delaware,Employer,1
1241,Male,Delaware,Husband,1
1242,Male,Delaware,Sister,1
1243,Male,Delaware,Stepson,1
1244,Male,District of Columbia,Stranger,945
1245,Male,District of Columbia,Unknown,842
1246,Male,District of Columbia,Acquaintance,202
1247,Male,District of Columbia,Girlfriend,56
1248,Male,District of Columbia,Wife,27
1249,Male,District of Columbia,Brother,24
1250,Male,District of Columbia,Son,22
1251,Male,District of Columbia,Family,18
1252,Male,District of Columbia,Friend,12
1253,Male,District of Columbia,Father,11
1254,Male,District of Columbia,Mother,11
1255,Male,District of Columbia,Common-Law Wife,9
1256,Male,District of Columbia,Daughter,8
1257,Male,District of Columbia,Boyfriend/Girlfriend,5
1258,Male,District of Columbia,Neighbor,5
1259,Male,District of Columbia,In-Law,4
1260,Male,District of Columbia,Sister,3
1261,Male,District of Columbia,Stepson,3
1262,Male,District of Columbia,Stepfather,2
1263,Male,District of Columbia,Boyfriend,1
1264,Male,District of Columbia,Stepmother,1
1265,Male,Florida,Unknown,14869
1266,Male,Florida,Stranger,1819
1267,Male,Florida,Wife,1638
1268,Male,Florida,Acquaintance,1632
1269,Male,Florida,Friend,1010
1270,Male,Florida,Girlfriend,425
1271,Male,Florida,Son,370
1272,Male,Florida,Family,364
1273,Male,Florida,Daughter,226
1274,Male,Florida,Father,224
1275,Male,Florida,Brother,198
1276,Male,Florida,Mother,193
1277,Male,Florida,Neighbor,112
1278,Male,Florida,Common-Law Wife,103
1279,Male,Florida,In-Law,77
1280,Male,Florida,Ex-Wife,75
1281,Male,Florida,Boyfriend/Girlfriend,58
1282,Male,Florida,Sister,48
1283,Male,Florida,Stepfather,38
1284,Male,Florida,Stepson,33
1285,Male,Florida,Husband,20
1286,Male,Florida,Common-Law Husband,19
1287,Male,Florida,Employer,17
1288,Male,Florida,Employee,14
1289,Male,Florida,Stepdaughter,11
1290,Male,Florida,Boyfriend,10
1291,Male,Florida,Stepmother,6
1292,Male,Florida,Ex-Husband,1
1293,Male,Georgia,Acquaintance,5547
1294,Male,Georgia,Stranger,2376
1295,Male,Georgia,Unknown,1369
1296,Male,Georgia,Wife,903
1297,Male,Georgia,Girlfriend,601
1298,Male,Georgia,Friend,472
1299,Male,Georgia,Family,326
1300,Male,Georgia,Neighbor,218
1301,Male,Georgia,Brother,195
1302,Male,Georgia,Son,180
1303,Male,Georgia,Father,132
1304,Male,Georgia,Common-Law Wife,131
1305,Male,Georgia,In-Law,126
1306,Male,Georgia,Daughter,122
1307,Male,Georgia,Ex-Wife,87
1308,Male,Georgia,Mother,85
1309,Male,Georgia,Stepson,58
1310,Male,Georgia,Stepfather,44
1311,Male,Georgia,Sister,43
1312,Male,Georgia,Stepdaughter,34
1313,Male,Georgia,Boyfriend/Girlfriend,33
1314,Male,Georgia,Boyfriend,18
1315,Male,Georgia,Employee,11
1316,Male,Georgia,Employer,11
1317,Male,Georgia,Husband,5
1318,Male,Georgia,Ex-Husband,2
1319,Male,Georgia,Stepmother,2
1320,Male,Hawaii,Acquaintance,297
1321,Male,Hawaii,Stranger,248
1322,Male,Hawaii,Wife,85
1323,Male,Hawaii,Girlfriend,71
1324,Male,Hawaii,Friend,63
1325,Male,Hawaii,Unknown,45
1326,Male,Hawaii,Neighbor,32
1327,Male,Hawaii,Son,28
1328,Male,Hawaii,Family,19
1329,Male,Hawaii,Daughter,15
1330,Male,Hawaii,In-Law,15
1331,Male,Hawaii,Mother,11
1332,Male,Hawaii,Brother,7
1333,Male,Hawaii,Boyfriend/Girlfriend,6
1334,Male,Hawaii,Ex-Wife,6
1335,Male,Hawaii,Stepdaughter,5
1336,Male,Hawaii,Common-Law Wife,3
1337,Male,Hawaii,Employer,3
1338,Male,Hawaii,Stepfather,3
1339,Male,Hawaii,Father,2
1340,Male,Hawaii,Stepmother,2
1341,Male,Hawaii,Stepson,2
1342,Male,Hawaii,Common-Law Husband,1
1343,Male,Hawaii,Sister,1
1344,Male,Idaho,Acquaintance,241
1345,Male,Idaho,Unknown,170
1346,Male,Idaho,Stranger,124
1347,Male,Idaho,Wife,99
1348,Male,Idaho,Friend,54
1349,Male,Idaho,Girlfriend,39
1350,Male,Idaho,Son,32
1351,Male,Idaho,Daughter,22
1352,Male,Idaho,Family,19
1353,Male,Idaho,Father,18
1354,Male,Idaho,In-Law,14
1355,Male,Idaho,Brother,13
1356,Male,Idaho,Neighbor,13
1357,Male,Idaho,Common-Law Wife,10
1358,Male,Idaho,Ex-Wife,9
1359,Male,Idaho,Mother,9
1360,Male,Idaho,Stepson,9
1361,Male,Idaho,Boyfriend/Girlfriend,5
1362,Male,Idaho,Sister,3
1363,Male,Idaho,Stepdaughter,3
1364,Male,Idaho,Stepfather,3
1365,Male,Idaho,Employee,2
1366,Male,Idaho,Employer,2
1367,Male,Idaho,Husband,1
1368,Male,Illinois,Stranger,3756
1369,Male,Illinois,Unknown,3382
1370,Male,Illinois,Acquaintance,3297
1371,Male,Illinois,Friend,1086
1372,Male,Illinois,Girlfriend,500
1373,Male,Illinois,Wife,394
1374,Male,Illinois,Neighbor,272
1375,Male,Illinois,Family,268
1376,Male,Illinois,Son,187
1377,Male,Illinois,Brother,149
1378,Male,Illinois,Common-Law Wife,107
1379,Male,Illinois,Daughter,106
1380,Male,Illinois,Father,94
1381,Male,Illinois,Mother,80
1382,Male,Illinois,In-Law,77
1383,Male,Illinois,Boyfriend/Girlfriend,56
1384,Male,Illinois,Ex-Wife,54
1385,Male,Illinois,Stepfather,40
1386,Male,Illinois,Stepson,33
1387,Male,Illinois,Sister,29
1388,Male,Illinois,Employer,27
1389,Male,Illinois,Boyfriend,26
1390,Male,Illinois,Husband,15
1391,Male,Illinois,Stepdaughter,15
1392,Male,Illinois,Employee,13
1393,Male,Illinois,Stepmother,3
1394,Male,Illinois,Common-Law Husband,2
1395,Male,Illinois,Ex-Husband,1
1396,Male,Indiana,Acquaintance,2779
1397,Male,Indiana,Stranger,1219
1398,Male,Indiana,Unknown,1016
1399,Male,Indiana,Wife,408
1400,Male,Indiana,Girlfriend,337
1401,Male,Indiana,Friend,253
1402,Male,Indiana,Family,134
1403,Male,Indiana,Son,123
1404,Male,Indiana,Daughter,99
1405,Male,Indiana,Brother,96
1406,Male,Indiana,Neighbor,88
1407,Male,Indiana,Father,75
1408,Male,Indiana,Mother,73
1409,Male,Indiana,Ex-Wife,55
1410,Male,Indiana,In-Law,52
1411,Male,Indiana,Stepdaughter,24
1412,Male,Indiana,Stepfather,22
1413,Male,Indiana,Employee,14
1414,Male,Indiana,Sister,14
1415,Male,Indiana,Stepson,14
1416,Male,Indiana,Boyfriend/Girlfriend,11
1417,Male,Indiana,Common-Law Wife,9
1418,Male,Indiana,Stepmother,9
1419,Male,Indiana,Employer,5
1420,Male,Indiana,Boyfriend,4
1421,Male,Indiana,Husband,3
1422,Male,Indiana,Ex-Husband,1
1423,Male,Iowa,Acquaintance,405
1424,Male,Iowa,Unknown,247
1425,Male,Iowa,Stranger,201
1426,Male,Iowa,Wife,132
1427,Male,Iowa,Girlfriend,96
1428,Male,Iowa,Son,40
1429,Male,Iowa,Friend,34
1430,Male,Iowa,Daughter,29
1431,Male,Iowa,Family,25
1432,Male,Iowa,Father,25
1433,Male,Iowa,Neighbor,20
1434,Male,Iowa,Mother,17
1435,Male,Iowa,In-Law,13
1436,Male,Iowa,Brother,12
1437,Male,Iowa,Common-Law Wife,10
1438,Male,Iowa,Ex-Wife,8
1439,Male,Iowa,Stepdaughter,8
1440,Male,Iowa,Sister,7
1441,Male,Iowa,Stepfather,6
1442,Male,Iowa,Stepson,3
1443,Male,Iowa,Boyfriend/Girlfriend,2
1444,Male,Iowa,Employer,2
1445,Male,Iowa,Stepmother,2
1446,Male,Iowa,Employee,1
1447,Male,Kansas,Acquaintance,610
1448,Male,Kansas,Unknown,483
1449,Male,Kansas,Stranger,368
1450,Male,Kansas,Wife,156
1451,Male,Kansas,Friend,101
1452,Male,Kansas,Girlfriend,97
1453,Male,Kansas,Family,47
1454,Male,Kansas,Son,40
1455,Male,Kansas,Brother,37
1456,Male,Kansas,Daughter,35
1457,Male,Kansas,Neighbor,30
1458,Male,Kansas,Father,29
1459,Male,Kansas,Mother,27
1460,Male,Kansas,Ex-Wife,20
1461,Male,Kansas,Common-Law Wife,19
1462,Male,Kansas,In-Law,16
1463,Male,Kansas,Stepson,13
1464,Male,Kansas,Stepfather,10
1465,Male,Kansas,Stepdaughter,9
1466,Male,Kansas,Boyfriend/Girlfriend,6
1467,Male,Kansas,Sister,5
1468,Male,Kansas,Employee,3
1469,Male,Kansas,Employer,3
1470,Male,Kansas,Boyfriend,1
1471,Male,Kentucky,Acquaintance,1611
1472,Male,Kentucky,Unknown,831
1473,Male,Kentucky,Stranger,540
1474,Male,Kentucky,Wife,317
1475,Male,Kentucky,Girlfriend,175
1476,Male,Kentucky,Friend,158
1477,Male,Kentucky,Family,138
1478,Male,Kentucky,Brother,109
1479,Male,Kentucky,In-Law,85
1480,Male,Kentucky,Son,69
1481,Male,Kentucky,Neighbor,59
1482,Male,Kentucky,Daughter,58
1483,Male,Kentucky,Father,51
1484,Male,Kentucky,Mother,50
1485,Male,Kentucky,Ex-Wife,45
1486,Male,Kentucky,Stepfather,24
1487,Male,Kentucky,Sister,21
1488,Male,Kentucky,Common-Law Wife,20
1489,Male,Kentucky,Boyfriend/Girlfriend,16
1490,Male,Kentucky,Stepson,14
1491,Male,Kentucky,Stepdaughter,12
1492,Male,Kentucky,Husband,3
1493,Male,Kentucky,Stepmother,3
1494,Male,Kentucky,Employer,2
1495,Male,Kentucky,Boyfriend,1
1496,Male,Louisiana,Acquaintance,5029
1497,Male,Louisiana,Stranger,2351
1498,Male,Louisiana,Unknown,1948
1499,Male,Louisiana,Wife,573
1500,Male,Louisiana,Girlfriend,396
1501,Male,Louisiana,Friend,285
1502,Male,Louisiana,Family,269
1503,Male,Louisiana,Brother,161
1504,Male,Louisiana,Common-Law Wife,129
1505,Male,Louisiana,Neighbor,126
1506,Male,Louisiana,Son,126
1507,Male,Louisiana,Daughter,100
1508,Male,Louisiana,In-Law,100
1509,Male,Louisiana,Father,90
1510,Male,Louisiana,Mother,64
1511,Male,Louisiana,Sister,38
1512,Male,Louisiana,Stepson,37
1513,Male,Louisiana,Boyfriend/Girlfriend,36
1514,Male,Louisiana,Stepfather,34
1515,Male,Louisiana,Ex-Wife,32
1516,Male,Louisiana,Stepdaughter,14
1517,Male,Louisiana,Husband,12
1518,Male,Louisiana,Boyfriend,11
1519,Male,Louisiana,Employee,9
1520,Male,Louisiana,Stepmother,9
1521,Male,Louisiana,Employer,8
1522,Male,Louisiana,Common-Law Husband,1
1523,Male,Maine,Acquaintance,198
1524,Male,Maine,Stranger,119
1525,Male,Maine,Wife,86
1526,Male,Maine,Girlfriend,67
1527,Male,Maine,Unknown,46
1528,Male,Maine,Friend,42
