State,Year,TotalHomicide,Rank
Maryland,1993,662,11.0
Maryland,1992,623,12.0
Maryland,1995,622,11.0
Maryland,1994,616,12.0
Maryland,1996,598,11.0
Maryland,1991,585,11.0
Maryland,2007,581,9.0
Maryland,1990,578,11.0
Maryland,2005,576,8.0
Maryland,2006,571,8.0
Maryland,1989,558,11.0
Maryland,2002,546,11.0
Maryland,2003,542,10.0
Maryland,2004,539,9.0
Maryland,1998,528,11.0
Maryland,1997,522,11.0
Maryland,2008,493,10.0
Maryland,2001,485,11.0
Maryland,2009,469,13.0
Maryland,2000,462,11.0
Maryland,1988,459,11.0
Maryland,1981,452,16.0
Maryland,1982,452,14.0
Maryland,2010,445,13.0
Maryland,1999,442,11.0
Maryland,1980,432,17.0
Maryland,2011,429,12.0
Maryland,1986,406,17.0
Maryland,2013,406,13.0
Maryland,2012,403,15.0
Maryland,1983,386,16.0
Maryland,1984,375,14.0
Maryland,1987,372,14.0
Maryland,1985,360,16.0
Maryland,2014,337,16.0
Massachusetts,1980,223,23.0
Massachusetts,2010,219,20.0
Massachusetts,1982,217,24.0
Massachusetts,1991,214,27.0
Massachusetts,1995,213,28.0
Massachusetts,1993,210,30.0
Massachusetts,1994,205,28.0
Massachusetts,1981,203,28.0
Massachusetts,1983,197,27.0
Massachusetts,1984,196,24.0
Massachusetts,1985,188,25.0
Massachusetts,2006,188,25.0
Massachusetts,2007,187,26.0
Massachusetts,1990,186,26.0
Massachusetts,2011,184,22.0
Massachusetts,1992,180,30.0
Massachusetts,2005,178,28.0
Massachusetts,2009,173,25.0
Massachusetts,1989,172,26.0
Massachusetts,2004,172,28.0
Massachusetts,2002,171,27.0
Massachusetts,2008,166,25.0
Massachusetts,1986,163,28.0
Massachusetts,1996,161,31.0
Massachusetts,1988,154,27.0
Massachusetts,2001,151,27.0
Massachusetts,1987,145,30.0
Massachusetts,2003,143,29.0
Massachusetts,2013,136,28.0
Massachusetts,2014,132,28.0
Massachusetts,1997,126,32.0
Massachusetts,1998,123,31.0
Massachusetts,2012,122,29.0
Massachusetts,1999,119,29.0
Massachusetts,2000,119,29.0
Michigan,1987,1153,5.0
Michigan,1986,1067,5.0
Michigan,1985,1066,5.0
Michigan,1988,1037,4.0
Michigan,1991,1028,5.0
Michigan,1989,1016,5.0
Michigan,1990,997,4.0
Michigan,1992,985,6.0
Michigan,1993,976,6.0
Michigan,1980,973,6.0
Michigan,1994,946,6.0
Michigan,1981,906,6.0
Michigan,1983,902,6.0
Michigan,1984,899,5.0
Michigan,1982,889,6.0
Michigan,1995,834,5.0
Michigan,1997,746,6.0
Michigan,1999,737,5.0
Michigan,2006,734,6.0
Michigan,2012,731,5.0
Michigan,1998,727,6.0
Michigan,1996,720,7.0
Michigan,2000,694,5.0
Michigan,2002,694,5.0
Michigan,2001,674,6.0
Michigan,2007,674,7.0
Michigan,2011,668,6.0
Michigan,2004,663,6.0
Michigan,2005,650,6.0
Michigan,2009,646,6.0
Michigan,2013,645,6.0
Michigan,2003,636,7.0
Michigan,2010,606,6.0
Michigan,2014,576,7.0
Michigan,2008,553,8.0
Minnesota,1995,180,30.0
Minnesota,1996,162,30.0
Minnesota,1994,144,32.0
Minnesota,1993,140,32.0
Minnesota,1992,136,33.0
Minnesota,1999,131,28.0
Minnesota,1997,127,31.0
Minnesota,2013,127,29.0
Minnesota,2003,126,30.0
Minnesota,2006,124,32.0
Minnesota,1988,121,31.0
Minnesota,2004,121,32.0
Minnesota,2001,120,29.0
Minnesota,2005,120,32.0
Minnesota,1998,117,32.0
Minnesota,1991,116,33.0
Minnesota,2002,116,31.0
Minnesota,2012,116,30.0
Minnesota,2000,113,30.0
Minnesota,1980,112,36.0
Minnesota,2007,111,32.0
Minnesota,2014,110,31.0
Minnesota,1987,109,32.0
Minnesota,1989,108,32.0
Minnesota,2008,106,33.0
Minnesota,2010,105,34.0
Minnesota,1986,101,36.0
Minnesota,1982,99,36.0
Minnesota,1985,90,35.0
Minnesota,2009,89,35.0
Minnesota,1981,87,35.0
Minnesota,2011,82,35.0
Minnesota,1984,76,36.0
Minnesota,1983,68,38.0
Minnesota,1990,65,35.0
Mississippi,1981,246,22.0
Mississippi,1993,234,27.0
Mississippi,1982,232,23.0
Mississippi,1994,232,26.0
Mississippi,1991,219,26.0
Mississippi,1980,218,25.0
Mississippi,1992,209,28.0
Mississippi,1995,201,29.0
Mississippi,1983,198,26.0
Mississippi,2011,195,21.0
Mississippi,2002,194,23.0
Mississippi,1997,193,28.0
Mississippi,2001,193,25.0
Mississippi,2003,191,26.0
Mississippi,1996,190,27.0
Mississippi,1998,185,25.0
Mississippi,2008,185,24.0
Mississippi,2004,181,27.0
Mississippi,1985,180,27.0
Mississippi,2006,180,26.0
Mississippi,2012,179,24.0
Mississippi,1987,178,26.0
Mississippi,1990,178,27.0
Mississippi,2000,174,23.0
Mississippi,2010,174,26.0
Mississippi,2014,173,23.0
Mississippi,1986,170,27.0
Mississippi,1989,169,27.0
Mississippi,1984,165,28.0
Mississippi,2005,164,30.0
Mississippi,2009,162,28.0
Mississippi,2007,154,31.0
Mississippi,1988,152,28.0
Mississippi,1999,151,25.0
Mississippi,2013,147,27.0
Missouri,1993,560,13.0
Missouri,1994,554,14.0
Missouri,1980,531,12.0
Missouri,1991,523,12.0
Missouri,1992,519,14.0
Missouri,1981,511,12.0
Missouri,1982,465,13.0
Missouri,2008,457,12.0
Missouri,1995,455,17.0
Missouri,2010,450,12.0
Missouri,1986,447,13.0
Missouri,2014,439,12.0
Missouri,1990,438,16.0
Missouri,2005,425,17.0
Missouri,2012,423,13.0
Missouri,2009,422,14.0
Missouri,1989,413,15.0
Missouri,1996,407,16.0
Missouri,2013,405,14.0
Missouri,1997,402,15.0
Missouri,2011,402,14.0
Missouri,2007,401,16.0
Missouri,2001,396,15.0
Missouri,1987,395,12.0
Missouri,1988,394,15.0
Missouri,1983,388,15.0
Missouri,1985,387,14.0
Missouri,1998,387,16.0
Missouri,2004,377,17.0
Missouri,2006,356,19.0
Missouri,2002,352,16.0
Missouri,1984,344,15.0
Missouri,2000,343,16.0
Missouri,1999,341,16.0
Missouri,2003,323,18.0
Montana,1984,32,43.0
Montana,1985,30,44.0
Montana,2014,30,41.0
Montana,1980,29,47.0
Montana,2004,29,44.0
Montana,2008,28,41.0
Montana,2009,28,43.0
Montana,1981,23,47.0
Montana,1983,23,47.0
Montana,2005,23,44.0
Montana,2010,23,45.0
Montana,2012,23,43.0
Montana,1989,22,46.0
Montana,2001,22,43.0
Montana,2003,22,43.0
Montana,2006,21,45.0
Montana,1992,20,44.0
Montana,1988,19,45.0
Montana,1995,19,44.0
Montana,2011,19,46.0
Montana,1991,18,43.0
Montana,1997,16,45.0
Montana,2013,16,47.0
Montana,2007,15,47.0
Montana,2002,13,48.0
Montana,2000,12,46.0
Montana,1998,11,46.0
Montana,1999,11,48.0
Montana,1986,2,51.0
Montana,1982,1,51.0
Montana,1990,1,50.0
Nebraska,2011,71,36.0
Nebraska,2013,64,35.0
Nebraska,1980,58,39.0
Nebraska,1988,58,34.0
Nebraska,2010,58,36.0
Nebraska,1981,57,38.0
Nebraska,2014,57,38.0
Nebraska,1991,56,36.0
Nebraska,2012,56,37.0
Nebraska,1986,55,37.0
Nebraska,1984,54,38.0
Nebraska,2009,47,37.0
Nebraska,1985,46,40.0
Nebraska,1983,44,41.0
Nebraska,1992,44,38.0
Nebraska,1990,42,40.0
Nebraska,1989,40,42.0
Nebraska,1982,35,42.0
Nebraska,1993,31,42.0
Nebraska,2004,30,42.0
Nebraska,2000,29,41.0
Nebraska,1999,26,39.0
Nebraska,1987,25,46.0
Nebraska,1998,25,40.0
Nebraska,2002,23,44.0
Nebraska,2007,23,44.0
Nebraska,1997,22,42.0
Nebraska,2008,22,46.0
Nebraska,1995,21,43.0
Nebraska,1996,21,43.0
Nebraska,2003,21,44.0
Nebraska,1994,19,44.0
Nebraska,2001,19,45.0
Nebraska,2006,17,46.0
Nebraska,2005,15,48.0
Nevada,2006,242,21.0
Nevada,1996,227,23.0
Nevada,2005,225,22.0
Nevada,2007,208,23.0
Nevada,2003,202,24.0
Nevada,2001,197,24.0
Nevada,1997,196,27.0
Nevada,2002,191,24.0
Nevada,2004,187,26.0
Nevada,2014,185,22.0
Nevada,1998,184,26.0
Nevada,2009,183,24.0
Nevada,1994,176,31.0
Nevada,2010,175,24.0
Nevada,1995,174,31.0
Nevada,1999,174,24.0
Nevada,2013,168,25.0
Nevada,2008,163,26.0
Nevada,1981,159,30.0
Nevada,2011,155,27.0
