,Year,State,Year
,,,count
254,1984,Wyoming,20
255,1985,Alabama,397
256,1985,Alaska,50
257,1985,Arizona,264
258,1985,Arkansas,188
259,1985,California,2986
260,1985,Colorado,204
261,1985,Connecticut,124
262,1985,Delaware,32
263,1985,District of Columbia,149
264,1985,Florida,1308
265,1985,Georgia,557
266,1985,Hawaii,43
267,1985,Idaho,24
268,1985,Illinois,227
269,1985,Indiana,287
270,1985,Iowa,57
271,1985,Kansas,128
272,1985,Kentucky,261
273,1985,Louisiana,453
274,1985,Maine,29
275,1985,Maryland,360
276,1985,Massachusetts,188
277,1985,Michigan,1066
278,1985,Minnesota,90
279,1985,Mississippi,180
280,1985,Missouri,387
281,1985,Montana,30
282,1985,Nebraska,46
283,1985,Nevada,101
284,1985,New Hampshire,18
285,1985,New Jersey,419
286,1985,New Mexico,138
287,1985,New York,1562
288,1985,North Carolina,527
289,1985,North Dakota,7
290,1985,Ohio,540
291,1985,Oklahoma,283
292,1985,Oregon,133
293,1985,Pennsylvania,581
294,1985,Rhodes Island,36
295,1985,South Carolina,323
296,1985,South Dakota,9
297,1985,Tennessee,387
298,1985,Texas,2248
299,1985,Utah,53
300,1985,Vermont,17
301,1985,Virginia,413
302,1985,Washington,234
303,1985,West Virginia,75
304,1985,Wisconsin,142
305,1985,Wyoming,25
306,1986,Alabama,407
307,1986,Alaska,47
308,1986,Arizona,321
309,1986,Arkansas,202
310,1986,California,3260
311,1986,Colorado,247
312,1986,Connecticut,148
313,1986,Delaware,32
314,1986,District of Columbia,154
315,1986,Florida,1427
316,1986,Georgia,652
317,1986,Hawaii,52
318,1986,Idaho,32
319,1986,Illinois,850
320,1986,Indiana,268
321,1986,Iowa,52
322,1986,Kansas,103
323,1986,Kentucky,251
324,1986,Louisiana,529
325,1986,Maine,24
326,1986,Maryland,406
327,1986,Massachusetts,163
328,1986,Michigan,1067
329,1986,Minnesota,101
330,1986,Mississippi,170
331,1986,Missouri,447
332,1986,Montana,2
333,1986,Nebraska,55
334,1986,Nevada,110
335,1986,New Hampshire,24
336,1986,New Jersey,407
337,1986,New Mexico,145
338,1986,New York,1682
339,1986,North Carolina,519
340,1986,North Dakota,7
341,1986,Ohio,546
342,1986,Oklahoma,285
343,1986,Oregon,184
344,1986,Pennsylvania,560
345,1986,Rhodes Island,34
346,1986,South Carolina,322
347,1986,South Dakota,18
348,1986,Tennessee,454
349,1986,Texas,2347
350,1986,Utah,55
351,1986,Vermont,12
352,1986,Virginia,427
353,1986,Washington,225
354,1986,West Virginia,120
355,1986,Wisconsin,144
356,1986,Wyoming,29
357,1987,Alabama,336
358,1987,Alaska,48
359,1987,Arizona,266
360,1987,Arkansas,187
361,1987,California,3166
362,1987,Colorado,211
363,1987,Connecticut,162
364,1987,Delaware,32
365,1987,District of Columbia,225
366,1987,Florida,1410
367,1987,Georgia,593
368,1987,Hawaii,53
369,1987,Idaho,35
370,1987,Illinois,343
371,1987,Indiana,222
372,1987,Iowa,31
373,1987,Kansas,106
374,1987,Kentucky,93
375,1987,Louisiana,382
376,1987,Maine,33
377,1987,Maryland,372
378,1987,Massachusetts,145
379,1987,Michigan,1153
380,1987,Minnesota,109
381,1987,Mississippi,178
382,1987,Missouri,395
383,1987,Nebraska,25
384,1987,Nevada,82
385,1987,New Hampshire,34
386,1987,New Jersey,365
387,1987,New Mexico,131
388,1987,New York,1881
389,1987,North Carolina,523
390,1987,North Dakota,10
391,1987,Ohio,605
392,1987,Oklahoma,268
393,1987,Oregon,166
394,1987,Pennsylvania,524
395,1987,Rhodes Island,41
396,1987,South Carolina,326
397,1987,South Dakota,11
398,1987,Tennessee,404
399,1987,Texas,2039
400,1987,Utah,56
401,1987,Vermont,16
402,1987,Virginia,453
403,1987,Washington,254
404,1987,West Virginia,104
405,1987,Wisconsin,168
406,1987,Wyoming,11
407,1988,Alabama,389
408,1988,Alaska,30
409,1988,Arizona,306
410,1988,Arkansas,216
411,1988,California,3135
412,1988,Colorado,206
413,1988,Connecticut,181
414,1988,Delaware,34
415,1988,District of Columbia,375
416,1988,Georgia,731
417,1988,Hawaii,47
418,1988,Idaho,35
419,1988,Illinois,1000
420,1988,Indiana,315
421,1988,Iowa,48
422,1988,Kansas,38
423,1988,Louisiana,452
424,1988,Maine,36
425,1988,Maryland,459
426,1988,Massachusetts,154
427,1988,Michigan,1037
428,1988,Minnesota,121
429,1988,Mississippi,152
430,1988,Missouri,394
431,1988,Montana,19
432,1988,Nebraska,58
433,1988,Nevada,104
434,1988,New Hampshire,29
